#OTU ID	Sample_1	Sample_2	Sample_3	Sample_4	Sample_5	Sample_6	Sample_7	Sample_8	Sample_9	Sample_10	Sample_11	Sample_12	Sample_13	Sample_14	Sample_15	Sample_16	Sample_17	Sample_18	Sample_19	Sample_20	Sample_21	Sample_22	Sample_23	Sample_24	Sample_25	Sample_26	Sample_27	Sample_28	Sample_29	Sample_30	Sample_31	Sample_32	Sample_33	Sample_34	Sample_35	Sample_36	Sample_37	Sample_38	Sample_39	Sample_40	Sample_41	Sample_42	Sample_43	Sample_44	Sample_45	Sample_46	Sample_47	Sample_48	Sample_49
1CMET2-PWY:_N10-formyl-tetrahydrofolate_biosynthesis|g__Bacteroides.s__Bacteroides_caccae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.65393e-06	0.0	0.0	0.0	0.0
1CMET2-PWY:_N10-formyl-tetrahydrofolate_biosynthesis|g__Bacteroides.s__Bacteroides_finegoldii	0.0	0.0	0.0	5.20388e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1CMET2-PWY:_N10-formyl-tetrahydrofolate_biosynthesis|g__Bacteroides.s__Bacteroides_fragilis	0.0	1.22905e-06	4.23648e-06	1.7308e-05	0.0	0.0	0.0	0.0	0.0	4.49345e-05	8.06485e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.9599e-06	1.70736e-05	0.0	1.29019e-05	5.2148e-05	0.0	0.0	0.0	0.0	0.0	7.54193e-05	0.0
1CMET2-PWY:_N10-formyl-tetrahydrofolate_biosynthesis|g__Bacteroides.s__Bacteroides_ovatus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.21006e-06	0.0	0.0	0.0	0.0	0.0	2.10018e-06	0.0	0.0	0.0	0.0
1CMET2-PWY:_N10-formyl-tetrahydrofolate_biosynthesis|g__Bacteroides.s__Bacteroides_sp_2_1_56FAA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000179897	0.0
1CMET2-PWY:_N10-formyl-tetrahydrofolate_biosynthesis|g__Bacteroides.s__Bacteroides_sp_2_2_4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.90146e-06	0.0	0.0	0.0	0.0
1CMET2-PWY:_N10-formyl-tetrahydrofolate_biosynthesis|g__Bacteroides.s__Bacteroides_stercoris	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.91725e-06	0.0	0.0	0.0	1.60379e-06	0.0	0.0	2.74063e-05	0.0
1CMET2-PWY:_N10-formyl-tetrahydrofolate_biosynthesis|g__Bacteroides.s__Bacteroides_thetaiotaomicron	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.73951e-06	0.0	0.0	0.0	0.0	0.0	2.32931e-05	0.0	0.0	4.21068e-07	0.0
1CMET2-PWY:_N10-formyl-tetrahydrofolate_biosynthesis|g__Bacteroides.s__Bacteroides_uniformis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.38901e-06	0.0	0.0	0.0	0.0	0.0	2.03386e-05	0.0	0.0	0.0	0.0
1CMET2-PWY:_N10-formyl-tetrahydrofolate_biosynthesis|g__Bacteroides.s__Bacteroides_vulgatus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.05468e-06	2.73986e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.37619e-06	0.0	5.76492e-06	1.31296e-05	0.0	0.0	2.31923e-05	0.0	0.0	3.75007e-05	0.0
