#OTU ID	Sample_1	Sample_2	Sample_3	Sample_4	Sample_5	Sample_6	Sample_7	Sample_8	Sample_9	Sample_10	Sample_11	Sample_12	Sample_13	Sample_14	Sample_15	Sample_16	Sample_17	Sample_18	Sample_19	Sample_20	Sample_21	Sample_22	Sample_23	Sample_24	Sample_25	Sample_26	Sample_27	Sample_28	Sample_29	Sample_30	Sample_31	Sample_32	Sample_33	Sample_34	Sample_35	Sample_36	Sample_37	Sample_38	Sample_39	Sample_40	Sample_41	Sample_42	Sample_43	Sample_44	Sample_45	Sample_46	Sample_47	Sample_48	Sample_49
1CMET2-PWY:_N10-formyl-tetrahydrofolate_biosynthesis	0.000106099	0.000140481	7.33177e-05	0.000114435	4.67452e-05	0.000118504	0.0	0.000101593	0.000169244	0.000151573	9.85222e-05	0.000531956	0.000174309	5.68165e-05	0.000158239	9.8153e-05	0.000114927	0.000194424	0.000151054	1.95482e-05	0.0	0.000187533	0.0	0.000127097	5.10379e-05	0.000127135	0.000127184	0.000115955	0.000207574	0.000200828	0.00019308	0.000188156	0.000344306	3.96481e-05	0.000419197	0.000261644	0.000129382	0.000201494	9.4718e-05	0.000186473	0.000156656	0.000133454	0.000204642	2.88781e-05	0.000151951	7.83445e-05	1.6064e-05	0.00044267	0.000170864
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY:_4-hydroxyphenylacetate_degradation	0.0	1.5959e-06	6.59387e-06	1.28198e-05	1.73885e-05	1.16258e-05	0.0	0.000219915	9.35457e-06	1.03099e-06	0.0	8.24083e-06	0.000242227	3.20639e-06	2.18252e-05	2.19333e-05	0.0	7.02753e-06	0.0	0.0	0.0	5.31421e-05	0.0	6.93712e-05	0.0	0.0	2.65013e-06	0.0	0.0	1.69782e-05	5.42141e-05	5.44893e-05	0.0	2.03455e-06	0.0	0.0	0.000135815	5.47305e-06	1.25464e-06	8.40328e-05	7.11326e-06	6.33779e-05	0.000342079	7.01897e-07	5.07522e-06	5.59871e-05	0.0	1.79333e-05	0.000267842
AEROBACTINSYN-PWY:_aerobactin_biosynthesis	2.4765e-06	7.13588e-07	1.37667e-06	2.18953e-05	6.87978e-06	4.1917e-06	0.0	2.66495e-05	2.27326e-06	0.0	0.0	5.39815e-05	1.63613e-06	3.46815e-06	4.82544e-06	4.413e-06	1.22147e-05	0.0	0.0	0.0	0.0	8.92961e-06	0.0	0.0	0.0	0.0	7.46269e-07	5.77988e-05	6.32452e-06	5.07712e-06	8.56776e-05	4.73792e-05	0.0	0.0	0.0	0.0	0.0	8.2119e-07	1.47976e-06	0.000128277	4.87865e-06	6.81631e-06	9.14622e-07	0.0	0.0	0.0	0.0	2.49565e-05	3.05277e-06
ALL-CHORISMATE-PWY:_superpathway_of_chorismate_metabolism	2.09124e-05	6.57921e-05	2.10869e-05	3.70831e-05	5.71481e-05	2.21828e-05	0.0	0.000136788	4.20504e-05	0.0	0.0	0.000133773	0.000166464	0.0	0.0	0.0	4.24835e-05	2.55328e-05	0.0	0.0	0.0	7.21998e-05	0.0	0.0	0.0	0.0	0.0	0.000151162	0.0	0.000132723	0.000160366	0.00017373	0.0	3.14315e-05	0.0	0.0	0.000143834	7.63307e-05	5.30277e-06	0.000177583	2.66013e-05	7.21338e-05	0.000208459	0.0	1.20992e-05	7.08406e-05	0.0	8.69905e-05	0.000225081
ALLANTOINDEG-PWY:_superpathway_of_allantoin_degradation_in_yeast	2.41099e-06	3.5464e-05	3.03549e-06	1.66159e-05	4.30853e-05	9.89035e-06	0.0	0.000105959	2.59866e-05	0.0	0.0	4.84736e-05	0.000236125	1.06636e-05	0.0	0.0	1.37174e-05	7.35431e-06	0.0	0.0	0.0	1.80674e-05	0.0	0.0	0.0	0.0	9.85652e-07	0.000143121	6.45776e-06	5.09586e-05	0.000104992	0.000127323	0.0	1.98833e-05	0.0	6.83177e-06	8.02149e-05	4.14737e-05	2.28119e-06	0.000130248	1.26325e-05	5.67877e-05	0.000271121	6.51982e-07	3.21112e-06	6.34369e-05	8.38069e-07	3.61962e-05	0.000206032
ANAEROFRUCAT-PWY:_homolactic_fermentation	9.95681e-05	0.000194637	9.88576e-05	0.000131179	8.2182e-05	0.000218348	0.0	0.000222229	0.000206828	0.000143432	0.000131531	0.000429483	0.000312792	0.00021475	7.65615e-05	0.000159937	0.000126273	0.000229433	0.000128339	4.29974e-05	0.0	0.000277608	0.0	0.000233903	0.000200862	0.000175997	0.000115043	0.000208621	0.0	0.000155378	0.000298664	0.000244833	7.40882e-06	3.62873e-05	0.0	9.93863e-05	0.000249784	0.000225647	0.000119616	0.000327966	0.000299661	0.000172083	0.000366686	6.23388e-05	0.000138281	9.97263e-05	4.47639e-06	0.000302547	0.000312522
ANAGLYCOLYSIS-PWY:_glycolysis_III_(from_glucose)	0.000138346	0.000244701	0.000124915	0.000151816	0.000107073	0.000395848	0.0	0.000285238	0.00028074	0.000218454	0.000194555	0.000658468	0.000344615	0.000344078	0.000117242	0.000196216	0.000256257	0.000420248	0.000271038	6.21913e-05	0.0	0.000361232	0.0	0.000279604	0.000254079	0.000230103	0.000158636	0.000380478	8.274e-05	0.000201689	0.000387804	0.000280459	6.35967e-05	5.63818e-05	0.0	0.000219399	0.000339491	0.000309158	0.000178714	0.0003514	0.000537191	0.000184656	0.000381184	8.28103e-05	0.000222071	0.000125727	2.54989e-05	0.000532916	0.000332201
ARG+POLYAMINE-SYN:_superpathway_of_arginine_and_polyamine_biosynthesis	3.51722e-05	6.48595e-05	2.24071e-05	2.94374e-05	4.77964e-05	7.5698e-05	0.0	0.000135017	5.63196e-05	2.53593e-05	0.0	0.000164057	0.00022732	1.74652e-05	8.06976e-05	3.12143e-05	2.95499e-05	3.66603e-05	3.95917e-05	7.83595e-06	0.0	0.000103552	0.0	0.0	5.56482e-05	4.07141e-05	3.59497e-05	0.000216831	5.87755e-06	8.34048e-05	0.000123017	0.000171357	0.0	3.89177e-05	0.0	3.46101e-05	0.000144662	6.81385e-05	8.96639e-06	0.000178997	4.9726e-05	6.98349e-05	0.000254256	1.71666e-05	1.48072e-05	7.52491e-05	5.73576e-06	0.000100534	0.00022086
ARGDEG-PWY:_superpathway_of_L-arginine,_putrescine,_and_4-aminobutanoate_degradation	0.0	2.97895e-05	8.53026e-06	1.57327e-05	2.34773e-05	1.71012e-05	0.0	0.000161035	1.44199e-05	3.18682e-06	0.0	4.82725e-05	0.00018552	5.62997e-06	2.82493e-05	1.90322e-05	8.9518e-06	2.74478e-06	0.0	0.0	0.0	6.89957e-05	0.0	3.78627e-05	0.0	1.30367e-06	5.85002e-06	0.000104788	0.0	4.97572e-05	0.000100507	0.000101398	0.0	1.1921e-05	0.0	3.27919e-06	8.71838e-05	2.94684e-05	2.84117e-06	0.000108317	1.18659e-05	4.81184e-05	0.000238688	8.37137e-07	4.92634e-06	4.90817e-05	1.85669e-06	4.95797e-05	0.000178824
ARGININE-SYN4-PWY:_L-ornithine_de_novo__biosynthesis	5.05584e-06	3.33289e-05	1.32587e-05	8.47796e-05	4.32426e-05	6.18564e-06	0.0	8.60191e-05	4.54615e-05	6.10177e-05	1.91966e-05	7.76835e-05	0.000149127	2.80589e-05	9.43409e-06	3.77558e-06	3.4351e-05	1.3919e-05	4.50194e-06	0.0	0.0	3.74353e-05	0.0	3.50374e-05	1.68683e-05	1.75582e-05	1.50418e-05	0.000191903	0.000163896	0.000156609	0.000114796	0.000137574	0.000276589	3.1329e-05	0.000530676	0.000196544	0.000150313	3.31598e-05	5.57191e-05	0.000167266	3.3756e-05	7.43411e-05	0.000194618	5.37386e-07	0.000102409	6.30201e-05	2.76675e-06	0.000312142	8.5152e-05
