	Sample	Gupta_good	Gupta_bad	Frac_of_core_functions_among_all	Frac_of_core_functions_found	Species_found_together	Contributions_per_species	Count of functions
0	681_S255_10000000	0	2	0.8489583333333334	0.9644970414201184	0.6585365853658537	32.47727272727273	192
1	681_S255_1000000	0	0	0.971830985915493	0.8165680473372781	0.43902439024390244	19.555555555555557	142
2	681_S255_100000	0	0	0.5	0.011834319526627219	0.24390243902439024	1.0	4
3	681_S255_15000000	0	4	0.8505154639175257	0.9763313609467456	0.6585365853658537	33.57142857142857	194
4	681_S255_20000000	0	5	0.8434343434343434	0.9881656804733728	0.6585365853658537	37.41818181818182	198
5	681_S255_2000000	0	0	0.9320987654320988	0.893491124260355	0.6097560975609756	26.347826086956523	162
6	681_S255_300000	0	0	0.98	0.5798816568047337	0.34146341463414637	16.0	100
7	681_S255_5000000	0	1	0.8950276243093923	0.9585798816568047	0.6585365853658537	28.257142857142856	181
8	681_S255_500000	0	0	0.976	0.7218934911242604	0.3902439024390244	15.0	125
9	681_S255_7000000	0	2	0.8776595744680851	0.9763313609467456	0.6585365853658537	30.6	188
10	681_S255_800000	0	0	0.9788732394366197	0.8224852071005917	0.43902439024390244	19.0	142
11	700_S270_10000000	2	1	0.8146341463414634	0.9881656804733728	1.0	37.88135593220339	205
12	700_S270_1000000	1	0	0.9716312056737588	0.8106508875739645	0.9512195121951219	13.846153846153847	141
13	700_S270_100000	0	0	0.0	0.0	0.3170731707317073	1.0	2
14	700_S270_15000000	2	1	0.8028846153846154	0.9881656804733728	1.0	40.868852459016395	208
15	700_S270_20000000	2	2	0.7934272300469484	1.0	1.0	41.67142857142857	213
16	700_S270_2000000	1	0	0.9506172839506173	0.9112426035502958	0.9512195121951219	22.342105263157894	162
17	700_S270_300000	1	0	0.9629629629629629	0.46153846153846156	0.7804878048780488	4.333333333333333	81
18	700_S270_5000000	2	0	0.8520408163265306	0.9881656804733728	1.0	32.11764705882353	196
19	700_S270_500000	1	0	0.9658119658119658	0.6686390532544378	0.9512195121951219	8.583333333333334	117
20	700_S270_7000000	2	1	0.8391959798994975	0.9881656804733728	1.0	35.41818181818182	199
21	700_S270_800000	1	0	0.9699248120300752	0.7633136094674556	0.9512195121951219	12.473684210526315	133
22	701_S271_10000000	2	3	0.8028846153846154	0.9881656804733728	1.0	36.87301587301587	208
23	701_S271_1000000	1	0	0.9694656488549618	0.7514792899408284	0.9512195121951219	12.217391304347826	131
24	701_S271_100000	0	0	0.0	0.0	0.2926829268292683	1.0	2
25	701_S271_15000000	2	3	0.786046511627907	1.0	1.0	39.60606060606061	215
26	701_S271_20000000	2	4	0.7612612612612613	1.0	1.0	40.53846153846154	222
27	701_S271_2000000	1	0	0.9316770186335404	0.8875739644970414	0.9512195121951219	19.736842105263158	161
28	701_S271_300000	1	0	0.9594594594594594	0.42011834319526625	0.9512195121951219	5.833333333333333	74
29	701_S271_5000000	2	2	0.8402061855670103	0.9644970414201184	1.0	29.90566037735849	194
30	701_S271_500000	1	0	0.9629629629629629	0.6153846153846154	0.9512195121951219	7.153846153846154	108
31	701_S271_7000000	2	3	0.8226600985221675	0.9881656804733728	1.0	34.73684210526316	203
32	701_S271_800000	1	0	0.967741935483871	0.7100591715976331	0.9512195121951219	9.9	124
33	842_S348_10000000	0	10	0.6829268292682927	0.9940828402366864	0.8292682926829268	34.18518518518518	246
34	842_S348_1000000	0	7	0.8869047619047619	0.8816568047337278	0.8292682926829268	17.90909090909091	168
35	842_S348_100000	0	1	0.0	0.0	0.2926829268292683	1.0	2
36	842_S348_15000000	0	11	0.678714859437751	1.0	0.8292682926829268	34.32258064516129	249
37	842_S348_20000000	0	11	0.6550387596899225	1.0	0.8780487804878049	39.554054054054056	258
38	842_S348_2000000	0	8	0.81	0.9585798816568047	0.8292682926829268	25.838709677419356	200
39	842_S348_300000	0	3	0.9072164948453608	0.5207100591715976	0.7804878048780488	6.666666666666667	97
40	842_S348_5000000	0	10	0.7136752136752137	0.9881656804733728	0.8292682926829268	33.357142857142854	234
41	842_S348_500000	0	4	0.9148936170212766	0.7633136094674556	0.7804878048780488	11.0	141
42	842_S348_7000000	0	10	0.7	0.9940828402366864	0.8292682926829268	32.40816326530612	240
43	842_S348_800000	0	5	0.906832298136646	0.863905325443787	0.8292682926829268	16.055555555555557	161
44	890_S376_10000000	1	3	0.631578947368421	0.9940828402366864	0.8536585365853658	28.869565217391305	266
45	890_S376_1000000	1	1	0.7427184466019418	0.9053254437869822	0.6341463414634146	18.923076923076923	206
46	890_S376_100000	0	0	0.6	0.01775147928994083	0.1951219512195122	1.0	5
47	890_S376_15000000	1	4	0.6199261992619927	0.9940828402366864	0.8536585365853658	31.591836734693878	271
48	890_S376_20000000	1	5	0.6101083032490975	1.0	0.8536585365853658	32.492063492063494	277
49	890_S376_2000000	1	2	0.6978723404255319	0.9704142011834319	0.6341463414634146	26.105263157894736	235
50	890_S376_300000	0	0	0.9292035398230089	0.621301775147929	0.5609756097560976	1.8333333333333333	113
51	890_S376_5000000	1	3	0.65234375	0.9881656804733728	0.8048780487804879	25.17142857142857	256
52	890_S376_500000	0	1	0.8552631578947368	0.7692307692307693	0.5609756097560976	6.333333333333333	152
53	890_S376_7000000	1	3	0.6398467432950191	0.9881656804733728	0.8048780487804879	28.605263157894736	261
54	890_S376_800000	1	1	0.7668393782383419	0.8757396449704142	0.5609756097560976	14.615384615384615	193
