	Sample	Gupta_good	Gupta_bad	Frac_of_core_functions_among_all	Frac_of_core_functions_found	Species_found_together	Contributions_per_species	Count of functions
0	128_S58	0	1	0.48923076923076925	0.9408284023668639	0.0	120.07692307692308	325
1	131_S59	0	0	0.8448275862068966	0.5798816568047337	0.0	57.18181818181818	116
2	34_S17	1	4	0.8142076502732241	0.8816568047337278	0.2682926829268293	38.93333333333333	183
3	35_S18	1	3	0.8670212765957447	0.9644970414201184	0.2682926829268293	42.375	188
4	670_S246	2	2	0.8144329896907216	0.9349112426035503	0.7317073170731707	42.05797101449275	194
5	681_S255	0	5	0.8497409326424871	0.9704142011834319	0.6585365853658537	37.9344262295082	193
6	691_S264	2	2	0.8031088082901554	0.9171597633136095	0.7317073170731707	43.08571428571429	193
7	700_S270	2	3	0.8019323671497585	0.9822485207100592	1.0	43.208333333333336	207
8	701_S271	2	4	0.7813953488372093	0.9940828402366864	1.0	41.144578313253014	215
9	740_S295	0	1	0.6062992125984252	0.9112426035502958	0.0	104.7	254
10	742_S296	0	1	0.5230263157894737	0.9408284023668639	0.0	149.77777777777777	304
11	842_S348	0	11	0.6640316205533597	0.9940828402366864	0.8780487804878049	41.310810810810814	253
12	890_S376	1	6	0.65	1.0	0.8536585365853658	34.13235294117647	260
