	Sample	GMHI_good	GMHI_bad	Frac_of_core_functions_among_all	Frac_of_core_functions_found	Species_found_together	Contributions_per_species
0	MMPD54490160ST	1	0	0.6071428571428571	0.10059171597633136	0.21951219512195122	8.0
1	MMPD37460080ST	0	4	0.6203703703703703	0.39644970414201186	0.0	43.4
2	MMPD56131850ST	1	0	0.7068965517241379	0.24260355029585798	0.4146341463414634	22.615384615384617
3	MMPD19623701ST	1	1	0.6194029850746269	0.4911242603550296	0.5121951219512195	36.61764705882353
4	MMPD91893113ST	1	3	0.5595238095238095	0.5562130177514792	0.24390243902439024	36.64102564102564
5	MMPD45969642ST	1	1	0.6066666666666667	0.5384615384615384	0.5609756097560976	41.0
6	MMPD39823498ST	0	3	0.5897435897435898	0.5443786982248521	0.5121951219512195	41.0
7	MMPD23212378ST	1	1	0.610738255033557	0.5384615384615384	0.6341463414634146	35.675
8	MMPD13674240ST	0	2	0.5444444444444444	0.5798816568047337	0.4634146341463415	37.11764705882353
9	MMPD34845324ST	2	1	0.66	0.1952662721893491	0.4146341463414634	21.25
10	MMPD34227989ST	1	2	0.5023923444976076	0.621301775147929	0.36585365853658536	36.87323943661972
11	MMPD24188488ST	0	3	0.6987951807228916	0.3431952662721893	0.3170731707317073	34.55
12	MMPD15187820ST	1	2	0.6181818181818182	0.40236686390532544	0.2682926829268293	22.58823529411765
13	MMPD91172559ST	1	2	0.6914893617021277	0.38461538461538464	0.4146341463414634	22.52
14	MMPD19359459ST	1	0	0.5903614457831325	0.5798816568047337	0.4146341463414634	40.5
15	MMPD29951127ST	1	1	0.4279661016949153	0.5976331360946746	0.4146341463414634	44.51428571428571
16	MMPD91702294ST	1	0	0.6216216216216216	0.40828402366863903	0.4634146341463415	30.20689655172414
17	MMPD27744413ST	0	5	0.40784313725490196	0.6153846153846154	0.3170731707317073	38.34615384615385
18	MMPD52850328ST	0	7	0.6384615384615384	0.4911242603550296	0.1951219512195122	35.65217391304348
19	MMPD33788863ST	3	1	0.7246376811594203	0.2958579881656805	0.4634146341463415	23.083333333333332
20	MMPD33826006ST	1	0	0.6506024096385542	0.31952662721893493	0.1951219512195122	21.85
21	MMPD45281271ST	0	0	0.7183098591549296	0.30177514792899407	0.14634146341463414	19.363636363636363
22	MMPD76778172ST	0	2	0.6224489795918368	0.3609467455621302	0.4146341463414634	37.473684210526315
23	MMPD23066988ST	1	0	0.45689655172413796	0.6272189349112426	0.3170731707317073	41.51851851851852
24	MMPD17122405ST	2	0	0.5170731707317073	0.6272189349112426	0.4634146341463415	35.768115942028984
25	MMPD15249256ST	1	3	0.5519125683060109	0.5976331360946746	0.5121951219512195	34.589285714285715
26	MMPD79688031ST	0	1	0.6792452830188679	0.21301775147928995	0.4634146341463415	24.11111111111111
27	MMPD29762767ST	0	0	0.6805555555555556	0.28994082840236685	0.5609756097560976	25.88888888888889
28	MMPD60018995ST	1	2	0.6388888888888888	0.40828402366863903	0.5853658536585366	43.77777777777778
29	MMPD27078321ST	0	1	0.72	0.31952662721893493	0.4146341463414634	35.07142857142857
30	MMPD65722427ST	0	2	0.4748603351955307	0.5029585798816568	0.4146341463414634	34.27272727272727
31	MMPD27380896ST	1	0	0.6	0.01775147928994083	0.36585365853658536	13.25
32	MMPD13967032ST	0	2	0.5494505494505495	0.591715976331361	0.36585365853658536	38.02127659574468
33	MMPD59466593ST	1	0	0.6891891891891891	0.30177514792899407	0.4634146341463415	25.61111111111111
34	MMPD37940420ST	1	1	0.7066666666666667	0.3136094674556213	0.4146341463414634	28.0
35	MMPD25043039ST	1	3	0.5163043478260869	0.5621301775147929	0.14634146341463414	26.94736842105263
36	MMPD44276157ST	1	4	0.4594594594594595	0.6035502958579881	0.4634146341463415	41.94871794871795
37	MMPD97202411ST	1	1	0.5954198473282443	0.46153846153846156	0.1951219512195122	10.8
38	MMPD21946553ST	0	2	0.5049019607843137	0.6094674556213018	0.4146341463414634	33.55555555555556
39	MMPD15431352ST	0	1	0.6204379562043796	0.5029585798816568	0.24390243902439024	28.11764705882353
40	MMPD17444064ST	1	2	0.6015625	0.4556213017751479	0.2926829268292683	20.68421052631579
41	MMPD78206795ST	1	1	0.6119402985074627	0.48520710059171596	0.5609756097560976	24.157894736842106
42	MMPD20413160ST	1	1	0.6	0.4970414201183432	0.4634146341463415	29.76923076923077
43	MMPD19218411ST	2	4	0.572289156626506	0.5621301775147929	0.4878048780487805	37.68421052631579
44	MMPD47465864ST	1	0	0.5739644970414202	0.5739644970414202	0.5853658536585366	29.7
45	LD-Run2-11	1	1	0.6076923076923076	0.46745562130177515	0.0975609756097561	15.35
46	LD-Run2-12	2	0	0.5671641791044776	0.44970414201183434	0.0975609756097561	22.27777777777778
47	LD-Run2-13	2	0	0.514792899408284	0.514792899408284	0.0975609756097561	25.041666666666668
48	LD-Run2-29	1	1	0.421259842519685	0.6331360946745562	0.0975609756097561	28.93548387096774
49	LD-Run1-01	0	1	0.3772893772893773	0.6094674556213018	0.0	56.7
50	LD-Run1-04	0	0	0.3861003861003861	0.591715976331361	0.0	129.33333333333334
51	LD-Run1-07	0	2	0.36101083032490977	0.591715976331361	0.0	110.77777777777777
52	LD-Run1-10	0	2	0.3786764705882353	0.6094674556213018	0.0	59.77777777777778
53	LD-Run2-01	0	0	0.37410071942446044	0.6153846153846154	0.0	47.55555555555556
54	LD-Run2-02	0	0	0.4563106796116505	0.5562130177514792	0.0975609756097561	23.6
55	LD-Run2-03	0	0	0.5205479452054794	0.44970414201183434	0.0	147.0
56	LD-Run2-04	0	0	0.40669856459330145	0.5029585798816568	0.0	116.66666666666667
57	LD-Run2-05	0	0	0.5194805194805194	0.47337278106508873	0.0	86.0
58	LD-Run2-06	0	2	0.36200716845878134	0.5976331360946746	0.0	79.6875
59	LD-Run2-07	0	1	0.36486486486486486	0.6390532544378699	0.0	41.55555555555556
60	LD-Run2-08	0	1	0.3851851851851852	0.6153846153846154	0.0	138.25
61	LD-Run2-09	0	0	0.5337837837837838	0.46745562130177515	0.0	151.0
62	LD-Run2-10	0	0	0.4092827004219409	0.5739644970414202	0.0	66.0
63	LD-Run2-14	0	1	0.6	0.14201183431952663	0.0	1.0
64	LD-Run2-21	0	1	0.4349775784753363	0.5739644970414202	0.0	47.833333333333336
65	LD-Run2-25	0	2	0.36764705882352944	0.591715976331361	0.0	106.125
66	LD-Run2-26	0	3	0.3890909090909091	0.6331360946745562	0.0	71.0
67	LD-Run2-30	0	1	0.3617021276595745	0.6035502958579881	0.0	102.0
68	LD-Run2-33	0	1	0.3951612903225806	0.5798816568047337	0.0	86.75
69	SID31021	2	5	0.49282296650717705	0.6094674556213018	0.1951219512195122	47.473684210526315
70	SID31267	2	0	0.48756218905472637	0.5798816568047337	0.4146341463414634	39.86206896551724
71	SID31333	1	3	0.48792270531400966	0.5976331360946746	0.36585365853658536	46.91489361702128
72	SID31452	1	6	0.484304932735426	0.6390532544378699	0.1951219512195122	47.27272727272727
73	SID31519	1	6	0.47465437788018433	0.6094674556213018	0.4634146341463415	47.54385964912281
74	SID31723	1	6	0.4475806451612903	0.6568047337278107	0.24390243902439024	54.59615384615385
