	Sample	Gupta_good	Gupta_bad	Frac_of_core_functions_among_all	Frac_of_core_functions_found	Species_found_together	Contributions_per_species	Count of functions
0	100_24122020_S49	0	1	0.6133333333333333	0.5443786982248521	0.0	4.0	150
1	100_29122020_S50	0	1	0.6666666666666666	0.14201183431952663	0.0	1.0	36
2	101k_02122021_S22	1	0	0.8947368421052632	0.10059171597633136	0.14634146341463414	3.0	19
3	105k_05122021_S24	2	1	0.9583333333333334	0.27218934911242604	0.14634146341463414	4.0	48
4	108K_08122021_S3	1	2	0.8785714285714286	0.727810650887574	0.04878048780487805	7.2	140
5	109k_08122021_S1	2	0	0.9625	0.4556213017751479	0.0975609756097561	18.0	80
6	10_20052020_S5	0	1	0.968421052631579	0.5443786982248521	0.21951219512195122	24.5	95
7	10_28052020_S6	0	0	0.9433962264150944	0.591715976331361	0.2682926829268293	24.6	106
8	110_06122020_S6	0	0	0.9605263157894737	0.4319526627218935	0.36585365853658536	8.8	76
9	112k_22122021_S28	1	1	0.967032967032967	0.5207100591715976	0.4146341463414634	4.5	91
10	113k_20122021_S30	2	1	0.8375	0.7928994082840237	0.1951219512195122	18.4	160
11	114k_30122021_S36	0	1	0.7325581395348837	0.7455621301775148	0.4146341463414634	6.5	172
12	114k_31122021_S35	0	2	0.7527472527472527	0.8106508875739645	0.36585365853658536	5.0	182
13	117_12122020_S38	0	1	0.5860655737704918	0.8461538461538461	0.0	65.25	244
14	117_17122020_S39	0	1	0.5507246376811594	0.8994082840236687	0.0	53.5	276
15	117k_27122021_S34	1	0	0.8938053097345132	0.5976331360946746	0.14634146341463414	13.5	113
16	118k_21122021_S18	0	1	0.92	0.13609467455621302	0.6341463414634146	6.0	25
17	118k_22122021_S20	0	1	0.9285714285714286	0.3076923076923077	0.4634146341463415	1.6666666666666667	56
18	118k_24122021_S19	0	3	0.9478260869565217	0.6449704142011834	0.6341463414634146	12.571428571428571	115
19	119k_24122021_S23	0	0	0.9425287356321839	0.48520710059171596	0.14634146341463414	13.0	87
20	11_09062020_S9	0	1	0.9108910891089109	0.5443786982248521	0.3170731707317073	4.6	101
21	11_25052020_S7	0	0	0.9583333333333334	0.6804733727810651	0.7560975609756098	13.583333333333334	120
22	120k_22122021_S26	0	0	0.9647058823529412	0.48520710059171596	0.0975609756097561	10.5	85
23	120k_23122021_S25	0	0	0.9572649572649573	0.6627218934911243	0.0975609756097561	9.0	117
24	121k_21122021_S28	0	0	0.0	0.0	0.0	1.0	2
25	121k_23122021_S38	0	0	0.9625	0.4556213017751479	0.0975609756097561	14.0	80
26	123k_12012022_S4	0	3	0.5907335907335908	0.9053254437869822	0.12195121951219512	43.333333333333336	259
27	124k_31122021_S39	0	2	0.6594827586206896	0.9053254437869822	0.14634146341463414	21.333333333333332	232
28	126k_09012022_S10	1	0	0.6137566137566137	0.6863905325443787	0.21951219512195122	20.5	189
29	127k_01012022_S32	0	2	0.8445945945945946	0.7396449704142012	0.3170731707317073	7.0	148
30	127k_02012022_S31	0	1	0.9506172839506173	0.4556213017751479	0.3170731707317073	4.571428571428571	81
31	128k_06012022_S40	0	0	0.8983050847457628	0.6272189349112426	0.5609756097560976	2.2857142857142856	118
32	129k_01012022_S38	0	1	0.7647058823529411	0.8461538461538461	0.2682926829268293	8.75	187
33	129k_02012022_S37	0	3	0.9396551724137931	0.6449704142011834	0.17073170731707318	21.666666666666668	116
34	12_06062020_S41	0	0	0.970873786407767	0.591715976331361	0.2682926829268293	20.833333333333332	103
35	12_22052020_S39	0	0	0.9583333333333334	0.5443786982248521	0.3170731707317073	15.142857142857142	96
36	132k_06012022_S43	0	0	0.9532710280373832	0.6035502958579881	0.0975609756097561	10.571428571428571	107
37	133k_04012022_S34	0	2	0.5670498084291188	0.8757396449704142	0.0	75.66666666666667	261
38	133k_05012022_S33	0	1	0.5492957746478874	0.9230769230769231	0.0	100.75	284
39	134k_02012022_S36	0	1	0.5843137254901961	0.8816568047337278	0.0	89.5	255
