Cohort	GMHI_good	GMHI_bad	Frac_of_core_functions_among_all	Frac_of_core_functions_found	Species_found_together	Contributions_per_species
schizophrenia_ZhuF_2020_AUC=0.54	4	1	6	3	5	2
CRC_ZellerG_2014_AUC=0.6	2	3	6	4	5	1
CRC_WirbelJ_2018_AUC=0.7	6	1	2	4	5	3
CRC_VogtmannE_2016_AUC=0.66	6	1	3	4	5	2
CRC_ThomasAM_2019_c_AUC=0.65	6	3	2	5	4	1
infection_RubelMA_2020_AUC=0.78	3	4	2	5	1	6
cirrhosis_QinN_2014_AUC=0.88	6	1	2	4	5	3
T2D_QinJ_2012_AUC=0.54	4	1	6	3	5	2
IBD_NielsenHB_2014_AUC=0.56	5	1	2	3	6	4
fatigue_NagySzakalD_2017_AUC=0.62	5	1	2	4	3	6
T2D_KarlssonFH_2013_AUC=0.66	6	1	4	3	5	2
ACVD_JieZ_2017_AUC=0.73	6	1	2	4	5	3
